stay_id,title,category,lat,lng,stars,miles_to_stadium
1,Renaissance Boston Patriot Place Hotel,Hotel,42.0904482,-71.2685287,4.4,0.219056724
2,Hilton Garden Inn Foxborough Patriot Place,Hotel,42.091147,-71.2685628,4.4,0.2192335434
3,"Walk to Gillette! 3BR Home Near Stadium Patriot Place, Drive Boston/ Providence",House,42.0940018,-71.2559967,4.8,0.4766303176
4,Red Fox Motel,Motel,42.083923,-71.276776,3.4,0.8010225136
5,"Brilliant 3-bedroom house with AC, 1.5 miles from World Cup action.",House,42.0979653,-71.2489395,3.6,0.9265711642
6,Americas Best Value Inn Foxboro,Hotel,42.0819623,-71.2807239,3.8,1.044322365
7,"Friends Getaway! 2 Spacious Units, Free Parking, Minutes to Gillette Stadium!",House,42.0819587,-71.2807235,3.8,1.044452952
8,"Perfect for Groups! 3 Spacious Units w / FREE Breakfast, Minutes to Patriot Place",House,42.0819511,-71.2807235,4.1,1.044763683
9,Chestnut Green LLC,Real estate,42.0761727,-71.2555237,3,1.11264869
10,"Charming 4-bedroom house with WiFi, AC in amazing Foxborough",House,42.0749283,-71.2550888,3.8,1.200390527
11,World Cup HQ < 1 Mi to Stadium & Patriot Place!,House,42.0762329,-71.2819901,4.8,1.360110173
12,World Cup 2026 Retreat • 4BR Home in Foxborough,House,42.0966797,-71.2342224,3.8,1.592981369
13,Whole house_ Gillette Stadium_Forest,House,42.068058,-71.2696686,4.1,1.602081061
14,2 Mi to Gillette Stadium! Perfect World Cup Base,House,42.0680122,-71.2696228,4,1.604797423
15,2 Mi to Gillette Stadium Foxborough Retreat! - Vacation Home,House,42.0680084,-71.2696304,3.8,1.605122486
16,A Lux Family Villa 6min to Gillette “Pool&Gym”★,Villa,42.0848198,-71.2325134,4.9,1.683159385
17,"Spacious 3-bedroom apartment in Foxborough with AC, Kitchen and inground pool.",Apartment,42.0628586,-71.251152,3.8,2.051477148
18,Foxmeadow Farm,Apartment building,42.0635566,-71.2464804,3.3,2.098687765
19,Mayfair Realty & Development,Apartment building,42.0654325,-71.2323831,4.4,2.403239613
20,Putnam Village,Apartment building,42.0654325,-71.2323831,4.5,2.403239613
21,Spruce Meadows Apartments,Apartment complex,42.0645723,-71.2332287,2.6,2.418308082
22,Elm Ledge Apartments,Apartment complex,42.0589605,-71.2362953,2.3,2.633048915
23,Foxboro,Apartment building,42.0557963,-71.2401591,4.1,2.723199681
24,Oak St Foxboro - Single Room with Shared Bathroom,House,42.0654106,-71.2175064,3.8,2.976663836
25,Modern Farmhouse + Barn Retreat Near Stadium,House,42.0466232,-71.2735978,3.8,3.096213113
26,Lodge at Foxborough,Apartment complex,42.0468992,-71.2370403,3.7,3.346297856
27,Residence Inn by Marriott Boston Foxborough,Hotel,42.0447274,-71.2383342,4.3,3.457097534
28,Comfort Inn Foxboro - Mansfield,Hotel,42.0393854,-71.2398608,3.9,3.773658486
29,Comfort Inn Foxboro - Mansfield,Hotel,42.039385,-71.239861,3.9,3.773681148
30,MainStay Suites Foxboro - Mansfield,House,42.0393105,-71.2396316,3.7,3.782457103
31,"Near Gillette Stadium and Wrentham Village Premium Outlets, Pet-Friendly Stay!",Apartment,42.0396309,-71.2372513,3.7,3.804410101
32,Sonesta Select Boston Foxborough Mansfield,Hotel,42.0395403,-71.2368944,4.1,3.816944212
33,Hampton Inn & Suites Foxborough/Mansfield,Hotel,42.0364621,-71.2327717,4.6,4.094287258
34,"Walk path to Gillette stadium/trains. Water access,6 acres. 2units for June.",Cottage,42.0907364,-71.2540817,3.7,0.5240506608
35,"1.6 Miles From All The Soccer Action. Spacious, Beautiful and Private 5B/3.5Ba",Cottage,42.0985947,-71.2475281,3.8,1.010985619
36,Walk to Gillette Stadium / 3BR/3BA / Perfect for World Cup 2026,Cottage,42.0964813,-71.2449341,3.8,1.065172399
37,Perfect 2-bedroom house with AC in charming Foxborough,Cottage,42.0813561,-71.2829513,3.7,1.161690556
38,"3BR House w/ A/C & Patio, Near Stadium & Shops",Cottage,42.0760231,-71.282074,3.7,1.373796702
39,World Cup 2026 Retreat • 4BR Home in Foxborough,Cottage,42.0966797,-71.2342224,3.8,1.592981369
40,2 Mi to Gillette Stadium! Perfect World Cup Base,Cottage,42.0680733,-71.2691345,5,1.596557639
41,2 Mi to Gillette Stadium: Foxborough Retreat! - House (4 Bedrooms),Cottage,42.0680084,-71.2696228,4.1,1.605056157
42,Less than 2 km from Gillette Stadium 4 BR/3BA House in Foxboro,Cottage,42.0657082,-71.2687378,4.1,1.755420213
43,3BD contemporary on 1.3 wooded acres. Hot tub. Fire pit. <4 miles to Gillette.,Cottage,42.0767288,-71.2311554,3.7,1.961496419
44,"2BR Home Foxboro Cntr- 3.5mi to Gillette, walk to bars/food/shops/playgrounds",Cottage,42.0619927,-71.2519913,3.8,2.094703699
45,"Luxury House 4mi from Boston Gillette Stadium - AC, Fast WiFi, Privacy, Clean",Cottage,42.0538712,-71.2610855,3.7,2.563777872
46,Modern Farmhouse + Cozy Barn Retreat Near Stadium,Cottage,42.0433998,-71.2758255,3.7,3.334801499
47,4-bedroom bungalow in adorable Foxborough with AC,Cottage,42.0633163,-71.207779,3.7,3.469087975